iso3c,region,country,income_id,gdp,population,food_organic_waste,glass,metal,other,paper_cardboard,plastic
LBY,MEA,Libya,UMC,8479.9462890625,6193501,70.099999999999994,3.1,4.3,3.8,5.5,7.5
LCA,LCN,St. Lucia,UMC,14029.982421875,177206,45,7,5,11,10,22
LIE,ECS,Liechtenstein,HIC,45726.98828125,36545,37.6,5,12.5,9.1,30.3,5.4
LKA,SAS,Sri Lanka,LMC,12287.47265625,21203000,62,2,3,13,7,7
LTU,ECS,Lithuania,HIC,37278.3046875,2786844,40.4,8.65,2.75,44.05,10.050000000000001,10.15
LUX,ECS,Luxembourg,HIC,114323.40625,619896,30,4,2,27,19,18
LVA,ECS,Latvia,HIC,30982.173828125,1912789,46.7,21.4,2.6,9.6999999999999993,6.1,7.7
MAC,EAS,"Macao SAR, China",HIC,117335.5859375,612167,3.1,3.3,1.7,3.1,58.7,7.9
MAR,MEA,Morocco,LMC,6915.10302734375,34318080,60,2,2.5,6,9,8
MDA,ECS,Moldova,LMC,10360.830078125,3554108,55,4,3,23,5,10
MEX,LCN,Mexico,UMC,19332.07421875,125890952,52.4,5.9,3.4,12.1,13.8,10.9
MHL,EAS,Marshall Islands,UMC,3628.89526367187,52793,8,2,6,31,11,13
MKD,ECS,"Macedonia, FYR",UMC,16147.7294921875,2082958,29.3,4.0999999999999996,2.5,19.8,12.8,13.9
MLI,SSF,Mali,LIC,2007.80603027343,16006670,17.5,1,3.5,72.5,3.5,2
MLT,MEA,Malta,HIC,43707.5390625,502653,52,6,4,9.5,18,12
MNE,ECS,Montenegro,UMC,20752.62109375,622227,33.82,8.9700000000000006,2.9,19.46,13.72,18.420000000000002
MNP,EAS,Northern Mariana Islands,HIC,60955.7265625,54036,43.6,5.5,10,9.3000000000000007,10.9,16.5
MRT,SSF,Mauritania,LMC,4783.6357421875,3506288,4.8,4,4.2,59.7,7.3,20
MYS,EAS,Malaysia,UMC,23906.265625,30228016,46,3,3,9,14,15
NCL,EAS,New Caledonia,HIC,57330.203125,278000,43.6,5.5,10,9.3000000000000007,10.9,16.5
NLD,ECS,Netherlands,HIC,56849.375,17332850,35,5.4,4.3,20.239999999999998,21,14
NOR,ECS,Norway,HIC,64962.26171875,5347896,15.49,4.5999999999999996,6.12,13.15,26.57,2.25
NPL,SAS,Nepal,LIC,2902.24926757812,28982772,52.39,4.3600000000000003,1.9,7.12,18.21,15.14
NRU,EAS,Nauru,UMC,11167.3193359375,13049,43.6,5.5,10,9.3000000000000007,10.9,16.5
NZL,EAS,New Zealand,HIC,41857.4765625,4692700,28,4,4.5,37,7,8
PAK,SAS,Pakistan,LMC,4571.41455078125,193203472,30,6,4,20,13,9
PAN,LCN,Panama,HIC,28436.359375,3969249,46.4,5.8,3.8,5.7,26.3,12
PER,LCN,Peru,UMC,11877.083984375,30973354,50.43,3.05,2.64,21.7,7.44,10.52
PHL,EAS,Philippines,LMC,7705.04541015625,103320224,52.31,2.34,4.22,21.52,8.6999999999999993,10.55
PLW,EAS,Palau,HIC,18275.025390625,21503,26,5,10,9,15,32
POL,ECS,Poland,HIC,33221.54296875,37970872,37.270000000000003,10.07,2.17,26.69,11.27,12.13
PRI,LCN,Puerto Rico,HIC,34311.03125,3473181,13.1,2.4,10.4,23.8,19.399999999999999,10.4
PRT,ECS,Portugal,HIC,34961.9453125,10269417,36.49,6.73,1.85,27.68,13.64,10.72
PSE,MEA,West Bank and Gaza,LMC,5985.68310546875,4046901,59.1,2.4,2.7,11.5,10.1,14.2
PYF,EAS,French Polynesia,HIC,60955.7265625,273528,47,3,3,29,16,2
QAT,MEA,Qatar,HIC,96261.6640625,2109568,57,4,9,5,11,14
ROU,ECS,Romania,UMC,29983.556640625,19356544,56.26,4.8899999999999997,2.5,10.68,11.34,12.33
RUS,ECS,Russian Federation,UMC,26012.849609375,143201680,28.41,16.82,1.83,19.03,19.7,14.21
SAU,MEA,Saudi Arabia,HIC,48921.23046875,31557144,45.5,4,5,2.5,27,11
SDN,SSF,Sudan,LMC,4191.8232421875,38647804,51.4,3.5,1.7,18.899999999999999,11.8,12.7
SEN,SSF,Senegal,LIC,3067.66259765625,15411614,12,2,2,68,5,9
SGP,EAS,Singapore,HIC,97341.46875,5703600,10.51,0.93,19.12,32.299999999999997,14.86,10.58
SLB,EAS,Solomon Islands,LMC,2596.45288085937,563513,42.8,6.65,13.15,3.7,6.45,22.35
SLV,LCN,El Salvador,LMC,7328.71337890625,6164626,65,4,2,7,12,10
SMR,ECS,San Marino,HIC,58806.19921875,33203,5.35,5.61,0.9,65.56,13.21,5.6
SRB,ECS,Serbia,UMC,18351.2734375,6944975,37.619999999999997,5.44,1.38,16.72,13.57,12.73
SVK,ECS,Slovak Republic,HIC,31965.76171875,5454073,42,19,2,1,25,11
SXM,LCN,Sint Maarten (Dutch part),HIC,NA,37685,46,7,7,12,15,13
SYC,SSF,Seychelles,HIC,23302.953125,88303,48.5,5.2,4.5999999999999996,25.8,5.9,9.9
SYR,MEA,Syrian Arab Republic,LIC,8587.05078125,20824892,57,3,4,22,7,7
TCA,LCN,Turks and Caicos Islands,HIC,28174.482421875,34900,21.8,20.5,7.6,2.4,31.5,16.3
TCD,SSF,Chad,LIC,1732.69128417968,11887202,70,1,2,18,3,6
TGO,SSF,Togo,LIC,1404.13293457031,7228915,38,2,4,42,4,10
THA,EAS,Thailand,UMC,16301.5380859375,68657600,65.52,3.04,1.85,4.74,7.6,17.59
TLS,EAS,Timor-Leste,LMC,3344.57373046875,1268671,43.6,5.5,10,9.3000000000000007,10.9,16.5
TON,EAS,Tonga,UMC,5636.41845703125,104951,51.3,5.9,9,8.9,7.4,13.4
TTO,LCN,Trinidad and Tobago,HIC,28910.908203125,1328100,27.15,10.15,3.74,17.190000000000001,22.6,19.170000000000002
TUN,MEA,Tunisia,LMC,10505.2626953125,11143908,68,2,4,5,10,11
TUR,ECS,Turkey,UMC,28289.087890625,83429616,64,2,1,24,6,3
TUV,EAS,Tuvalu,UMC,3793.12768554687,11097,43.6,5.5,10,9.3000000000000007,10.9,16.5
TWN,EAS,NA,HIC,57362.92578125,23434000,23.34,4.1100000000000003,3.07,14.11,30.01,20.23
UGA,SSF,Uganda,LIC,1972.3017578125,35093648,74.5,0.8,0.6,10.6,6,7.6
UKR,ECS,Ukraine,LMC,11534.6376953125,45004644,37,5,4,22,25,7
URY,LCN,Uruguay,HIC,20588.392578125,3431552,53.5,3,5,7.5,20,11
USA,NAC,United States,HIC,61498.37109375,326687488,14.9,4.4000000000000004,9,3.2,26.6,12.9
UZB,ECS,Uzbekistan,LMC,5164.2744140625,29774500,40,3,2,17.5,17.5,2.5
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.9931640625,109455,49.6,5.6,3.8,10.5,22.1,8.4
VGB,LCN,British Virgin Islands,HIC,24215.8828125,20645,6.5,18.100000000000001,8.6,4.8,33.5,6.3
VIR,LCN,Virgin Islands (U.S.),HIC,30436.564453125,105784,46,7,7,12,15,13
VNM,EAS,Vietnam,LMC,5089.4111328125,86932496,61.9,2.1800000000000002,0.57999999999999996,15.18,5.2,12.15
VUT,EAS,Vanuatu,LMC,3061.78735351562,270402,73.400000000000006,5.4,3.8,5.7,4.05,6.45
WSM,EAS,Samoa,UMC,6210.9833984375,187665,42.6,2.2000000000000002,8.8000000000000007,19.399999999999999,7.2,13
XKX,ECS,Kosovo,LMC,9723.5615234375,1801800,42,6,6,20,8,11
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,27584212,65,1,6,6,7,10
ZAF,SSF,South Africa,UMC,12666.607421875,51729344,16.381654627302701,5.2002163704720097,16.910460896845201,45.020645565922301,9.3969182377942602,7.0901043016634304
ZWE,SSF,Zimbabwe,LIC,3190.50659179687,12500525,36,5,6,3,27,23
